Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
CHIERI;CITTA' METROPOLITANA DI TORINO;Piemonte;;2016;2016-02-11T17:12:55Z;1739742895;7.8361731;45.0160404
IVREA;CITTA' METROPOLITANA DI TORINO;Piemonte;Piscina La Serra;2014;2014-02-05T08:54:45Z;1948960015;7.8795126;45.466211
POIRINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2013;2013-06-26T13:54:46Z;2361683878;7.8517774;44.9184546999999
PRAGELATO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2012;2012-10-01T15:36:53Z;1941579463;6.9648873;45.0327321999999
RIVOLI;CITTA' METROPOLITANA DI TORINO;Piemonte;;2012;2012-07-09T19:14:13Z;1790054621;7.5495064;45.0730697999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2012;2012-09-25T05:28:24Z;1855080479;7.6354782;45.0463524
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2013;2013-01-05T23:50:43Z;2097331540;7.6835583;45.0849882999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2013;2013-02-14T11:32:19Z;2154344126;7.7175249;45.0791212999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Franzoj;2013;2013-04-15T18:11:42Z;2028421667;7.6164854;45.0822068
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Piscina Sebastopoli;2013;2013-03-23T20:48:58Z;1855080478;7.6366514;45.0485291
CARESANA;VERCELLI;Piemonte;Piscine Comunali;2012;2012-01-16T11:48:54Z;1592619315;8.5088232;45.2189055999999
ARONA;NOVARA;Piemonte;;2013;2013-01-12T21:28:08Z;2107874248;8.5370043;45.7819577
ARONA;NOVARA;Piemonte;;2013;2013-01-12T21:58:54Z;2107910514;8.5327959;45.7790881999999
ARONA;NOVARA;Piemonte;;2013;2013-01-12T22:06:33Z;2107923863;8.5351401;45.7773017
ARONA;NOVARA;Piemonte;;2013;2013-01-12T22:34:45Z;2108015985;8.5361325;45.7757565
ARONA;NOVARA;Piemonte;;2013;2013-01-17T19:00:24Z;2116644875;8.5459563;45.7621423
ARONA;NOVARA;Piemonte;;2013;2013-01-19T14:14:37Z;2119279274;8.5555587;45.7540843
ARONA;NOVARA;Piemonte;;2015;2015-11-19T13:27:14Z;2119279265;8.5579131;45.7559777999999
BORGO TICINO;NOVARA;Piemonte;;2013;2013-01-20T16:28:52Z;2121283409;8.58794939999999;45.7066232999999
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T17:35:07Z;2111002189;8.5015863;45.7910704
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T17:42:43Z;2111015438;8.4958344;45.7884336999999
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T17:50:37Z;2111021974;8.502666;45.7931243
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T17:50:37Z;2111021975;8.5022863;45.7938382999999
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T17:54:52Z;2111027178;8.4971997;45.7942725999999
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T18:59:43Z;2111173877;8.49446919999999;45.7905509
COLAZZA;NOVARA;Piemonte;;2013;2013-01-14T19:15:17Z;2111198619;8.5006704;45.7914784999999
COMIGNAGO;NOVARA;Piemonte;;2013;2013-01-21T18:51:28Z;2122830696;8.5598127;45.7141343999999
COMIGNAGO;NOVARA;Piemonte;;2013;2013-01-21T18:51:28Z;2122830702;8.5583911;45.7133404
DORMELLETTO;NOVARA;Piemonte;;2013;2013-01-19T19:57:41Z;2119827136;8.5658583;45.7453100999999
LESA;NOVARA;Piemonte;;2013;2013-01-11T21:07:46Z;2106327100;8.54052989999999;45.8065021
LESA;NOVARA;Piemonte;;2013;2013-01-11T21:11:53Z;2106332422;8.5392209;45.8081175
LESA;NOVARA;Piemonte;;2013;2013-01-11T21:27:02Z;2106355776;8.542343;45.8136009999999
LESA;NOVARA;Piemonte;;2013;2013-01-11T21:45:43Z;2106372071;8.54684909999999;45.8204466999999
LESA;NOVARA;Piemonte;;2013;2013-01-11T21:45:43Z;2106372080;8.5475303;45.8201083
LESA;NOVARA;Piemonte;;2013;2013-01-11T22:33:54Z;2106411518;8.5486702;45.8205511999999
LESA;NOVARA;Piemonte;;2013;2013-01-12T09:19:13Z;2106777109;8.5505265;45.8217682
LESA;NOVARA;Piemonte;;2013;2013-01-12T10:38:25Z;2106842200;8.5535052;45.8205355999999
LESA;NOVARA;Piemonte;;2013;2013-01-12T10:45:24Z;2106847977;8.5476875;45.8183185999999
LESA;NOVARA;Piemonte;;2013;2013-01-12T11:04:14Z;2106870158;8.54584479999999;45.8154398
LESA;NOVARA;Piemonte;;2013;2013-01-12T11:54:08Z;2106928356;8.5386297;45.8059236
LESA;NOVARA;Piemonte;;2013;2013-01-12T16:56:54Z;2107290850;8.53814689999999;45.8033957
LESA;NOVARA;Piemonte;;2013;2013-01-25T16:50:14Z;2127756179;8.5575823;45.8203152
LESA;NOVARA;Piemonte;;2013;2013-01-25T16:50:14Z;2127756217;8.55749679999999;45.8195809999999
LESA;NOVARA;Piemonte;;2013;2013-01-25T16:50:15Z;2127756250;8.5578318;45.8194554999999
LESA;NOVARA;Piemonte;;2013;2013-01-25T17:51:16Z;2127876655;8.5595111;45.8231157
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-11T21:42:40Z;2106370002;8.5428929;45.8179361999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-11T21:45:43Z;2106372067;8.5431262;45.8193474999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-11T21:58:56Z;2106383083;8.5409857;45.8197605
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-11T21:58:59Z;2106383262;8.541447;45.8193474999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-11T22:27:52Z;2106405949;8.54331389999999;45.8217924
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T10:49:24Z;2106851790;8.5397535;45.8214927
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863549;8.54265919999999;45.8219846
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863550;8.54239089999999;45.8222724999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863553;8.5434853;45.8240484
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863582;8.5432975;45.8235959
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863610;8.5437428;45.8224146
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:02:29Z;2106863627;8.5443275;45.8231923
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:30:42Z;2106908692;8.53661529999999;45.8118878
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:36:01Z;2106912082;8.53824419999999;45.8167544
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T11:39:26Z;2106914582;8.5344159;45.8122953
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T15:45:00Z;2107201905;8.5339655;45.8127049
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T15:45:01Z;2107201912;8.5338178;45.8119288999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T15:45:01Z;2107201915;8.5333217;45.8127534999999
MASSINO VISCONTI;NOVARA;Piemonte;;2013;2013-01-12T16:20:48Z;2107239575;8.5390913;45.8199785999999
MEINA;NOVARA;Piemonte;;2013;2013-01-11T11:33:17Z;2105500926;8.53741469999999;45.8025882
MEINA;NOVARA;Piemonte;;2013;2013-01-11T11:33:17Z;2105500943;8.53786539999999;45.8008584999999
